scraped_at_kst,rank,name,code,search_ratio,price,change,change_pct,volume,open,high,low,per,roe
2026-04-28T03:16:23+09:00,27,일진전기,103590,0.88%,"109,900","상승 13,400",+13.89%,"1,175,937","103,000","112,300","100,800",50.44,19.08
2026-04-28T03:16:23+09:00,28,고영,098460,0.87%,"43,500","상승 1,200",+2.84%,"16,275,125","43,250","44,800","41,650",202.33,4.48
2026-04-28T03:16:23+09:00,29,미래에셋증권,006800,0.87%,"68,700","상승 1,800",+2.69%,"3,580,422","67,600","70,400","66,100",31.89,12.36
2026-04-28T03:16:23+09:00,30,서울반도체,046890,0.86%,"14,540","상한가 3,350",+29.94%,"9,202,911","13,340","14,540","13,070",-16.49,-7.95
2026-04-28T03:31:45+09:00,1,삼성전자,005930,8.85%,"224,500","상승 5,000",+2.28%,"22,526,592","220,000","226,000","218,500",34.20,10.85
2026-04-28T03:31:45+09:00,2,SK하이닉스,000660,6.96%,"1,292,000","상승 70,000",+5.73%,"4,392,195","1,253,000","1,317,000","1,249,000",21.92,44.15
2026-04-28T03:31:45+09:00,3,에이비엘바이오,298380,5.33%,"172,700","상승 15,500",+9.86%,"860,772","162,700","173,900","162,000",-249.21,-23.48
2026-04-28T03:31:45+09:00,4,한미반도체,042700,3.79%,"373,500","상승 78,000",+26.40%,"5,287,941","305,000","379,500","302,000",167.26,34.76
2026-04-28T03:31:45+09:00,5,두산에너빌리티,034020,2.58%,"128,900","상승 1,800",+1.42%,"3,984,476","130,300","130,300","125,600",976.52,1.11
2026-04-28T03:31:45+09:00,6,현대차,005380,2.56%,"524,000","상승 11,000",+2.14%,"930,365","520,000","533,000","515,000",14.83,8.41
2026-04-28T03:31:45+09:00,7,LS ELECTRIC,010120,2.16%,"255,500","상승 29,000",+12.80%,"1,591,106","246,500","261,500","241,000",133.70,14.67
2026-04-28T03:31:45+09:00,8,삼성SDI,006400,2.13%,"635,000","하락 6,000",-0.94%,"699,957","641,000","648,000","616,000",-76.28,-3.15
2026-04-28T03:31:45+09:00,9,대한광통신,010170,2.06%,"16,020","상승 2,660",+19.91%,"64,179,374","13,430","16,580","13,420",-66.20,-52.05
2026-04-28T03:31:45+09:00,10,효성중공업,298040,1.96%,"3,941,000","상승 389,000",+10.95%,"78,226","3,999,000","4,006,000","3,786,000",70.68,24.41
2026-04-28T03:31:45+09:00,11,리노공업,058470,1.80%,"109,800","하락 14,600",-11.74%,"3,215,459","113,800","114,000","105,900",55.07,22.45
2026-04-28T03:31:45+09:00,12,대우건설,047040,1.66%,"33,200",상승 400,+1.22%,"22,424,780","33,450","34,150","31,550",-15.13,-23.89
2026-04-28T03:31:45+09:00,13,삼천당제약,000250,1.40%,"445,000","상승 33,500",+8.14%,"394,348","421,000","459,500","414,500","1,986.61",1.94
2026-04-28T03:31:45+09:00,14,삼성중공업,010140,1.39%,"33,450",하락 950,-2.76%,"8,131,764","34,700","34,750","33,100",53.95,13.74
2026-04-28T03:31:45+09:00,15,에코프로,086520,1.30%,"156,400",하락 200,-0.13%,"934,570","157,600","158,900","154,400",-141.80,-8.39
2026-04-28T03:31:45+09:00,16,삼성전기,009150,1.30%,"794,000","상승 6,000",+0.76%,"528,597","792,000","796,000","771,000",87.26,7.70
2026-04-28T03:31:45+09:00,17,NAVER,035420,1.27%,"215,000","상승 1,000",+0.47%,"458,738","216,000","218,500","215,000",17.37,7.37
2026-04-28T03:31:45+09:00,18,POSCO홀딩스,005490,1.19%,"417,500","상승 2,500",+0.60%,"309,760","422,000","422,000","411,000",51.64,1.18
2026-04-28T03:31:45+09:00,19,한화오션,042660,1.17%,"133,500","하락 1,400",-1.04%,"2,554,842","136,500","137,500","131,700",32.83,22.59
2026-04-28T03:31:45+09:00,20,로보티즈,108490,1.07%,"348,000","상승 55,500",+18.97%,"1,338,630","301,500","361,500","299,500",923.08,2.49
2026-04-28T03:31:45+09:00,21,LG전자,066570,1.04%,"130,000","상승 2,500",+1.96%,"628,169","128,700","131,200","127,300",24.43,4.28
2026-04-28T03:31:45+09:00,22,삼성E&A,028050,0.96%,"54,300","상승 1,800",+3.43%,"3,433,235","54,600","55,200","53,000",17.24,13.76
2026-04-28T03:31:45+09:00,23,SK증권,001510,0.93%,"4,845","상한가 1,115",+29.89%,"57,604,548","4,440","4,845","4,155",40.04,5.00
2026-04-28T03:31:45+09:00,24,펄어비스,263750,0.91%,"60,200","상승 3,200",+5.61%,"1,052,139","59,400","61,700","58,700",-459.54,-1.05
2026-04-28T03:31:45+09:00,25,레인보우로보틱스,277810,0.90%,"669,000","상승 57,000",+9.31%,"490,051","638,000","705,000","631,000","9,164.38",1.07
2026-04-28T03:31:45+09:00,26,대한전선,001440,0.88%,"43,550",상승 700,+1.63%,"8,821,780","44,100","44,400","42,800",96.35,5.48
2026-04-28T03:31:45+09:00,27,일진전기,103590,0.88%,"109,900","상승 13,400",+13.89%,"1,175,937","103,000","112,300","100,800",50.44,19.08
2026-04-28T03:31:45+09:00,28,고영,098460,0.87%,"43,500","상승 1,200",+2.84%,"16,275,125","43,250","44,800","41,650",202.33,4.48
2026-04-28T03:31:45+09:00,29,미래에셋증권,006800,0.87%,"68,700","상승 1,800",+2.69%,"3,580,422","67,600","70,400","66,100",31.89,12.36
2026-04-28T03:31:45+09:00,30,서울반도체,046890,0.86%,"14,540","상한가 3,350",+29.94%,"9,202,911","13,340","14,540","13,070",-16.49,-7.95
2026-04-28T04:36:03+09:00,1,삼성전자,005930,8.85%,"224,500","상승 5,000",+2.28%,"22,526,592","220,000","226,000","218,500",34.20,10.85
2026-04-28T04:36:03+09:00,2,SK하이닉스,000660,6.96%,"1,292,000","상승 70,000",+5.73%,"4,392,195","1,253,000","1,317,000","1,249,000",21.92,44.15
2026-04-28T04:36:03+09:00,3,에이비엘바이오,298380,5.33%,"172,700","상승 15,500",+9.86%,"860,772","162,700","173,900","162,000",-249.21,-23.48
2026-04-28T04:36:03+09:00,4,한미반도체,042700,3.79%,"373,500","상승 78,000",+26.40%,"5,287,941","305,000","379,500","302,000",167.26,34.76
2026-04-28T04:36:03+09:00,5,두산에너빌리티,034020,2.58%,"128,900","상승 1,800",+1.42%,"3,984,476","130,300","130,300","125,600",976.52,1.11
2026-04-28T04:36:03+09:00,6,현대차,005380,2.56%,"524,000","상승 11,000",+2.14%,"930,365","520,000","533,000","515,000",14.83,8.41
2026-04-28T04:36:03+09:00,7,LS ELECTRIC,010120,2.16%,"255,500","상승 29,000",+12.80%,"1,591,106","246,500","261,500","241,000",133.70,14.67
2026-04-28T04:36:03+09:00,8,삼성SDI,006400,2.13%,"635,000","하락 6,000",-0.94%,"699,957","641,000","648,000","616,000",-76.28,-3.15
2026-04-28T04:36:03+09:00,9,대한광통신,010170,2.06%,"16,020","상승 2,660",+19.91%,"64,179,374","13,430","16,580","13,420",-66.20,-52.05
2026-04-28T04:36:03+09:00,10,효성중공업,298040,1.96%,"3,941,000","상승 389,000",+10.95%,"78,226","3,999,000","4,006,000","3,786,000",70.68,24.41
2026-04-28T04:36:03+09:00,11,리노공업,058470,1.80%,"109,800","하락 14,600",-11.74%,"3,215,459","113,800","114,000","105,900",55.07,22.45
2026-04-28T04:36:03+09:00,12,대우건설,047040,1.66%,"33,200",상승 400,+1.22%,"22,424,780","33,450","34,150","31,550",-15.13,-23.89
2026-04-28T04:36:03+09:00,13,삼천당제약,000250,1.40%,"445,000","상승 33,500",+8.14%,"394,348","421,000","459,500","414,500","1,986.61",1.94
2026-04-28T04:36:03+09:00,14,삼성중공업,010140,1.39%,"33,450",하락 950,-2.76%,"8,131,764","34,700","34,750","33,100",53.95,13.74
2026-04-28T04:36:03+09:00,15,에코프로,086520,1.30%,"156,400",하락 200,-0.13%,"934,570","157,600","158,900","154,400",-141.80,-8.39
2026-04-28T04:36:03+09:00,16,삼성전기,009150,1.30%,"794,000","상승 6,000",+0.76%,"528,597","792,000","796,000","771,000",87.26,7.70
2026-04-28T04:36:03+09:00,17,NAVER,035420,1.27%,"215,000","상승 1,000",+0.47%,"458,738","216,000","218,500","215,000",17.37,7.37
2026-04-28T04:36:03+09:00,18,POSCO홀딩스,005490,1.19%,"417,500","상승 2,500",+0.60%,"309,760","422,000","422,000","411,000",51.64,1.18
2026-04-28T04:36:03+09:00,19,한화오션,042660,1.17%,"133,500","하락 1,400",-1.04%,"2,554,842","136,500","137,500","131,700",32.83,22.59
2026-04-28T04:36:03+09:00,20,로보티즈,108490,1.07%,"348,000","상승 55,500",+18.97%,"1,338,630","301,500","361,500","299,500",923.08,2.49
2026-04-28T04:36:03+09:00,21,LG전자,066570,1.04%,"130,000","상승 2,500",+1.96%,"628,169","128,700","131,200","127,300",24.43,4.28
2026-04-28T04:36:03+09:00,22,삼성E&A,028050,0.96%,"54,300","상승 1,800",+3.43%,"3,433,235","54,600","55,200","53,000",17.24,13.76
2026-04-28T04:36:03+09:00,23,SK증권,001510,0.93%,"4,845","상한가 1,115",+29.89%,"57,604,548","4,440","4,845","4,155",40.04,5.00
2026-04-28T04:36:03+09:00,24,펄어비스,263750,0.91%,"60,200","상승 3,200",+5.61%,"1,052,139","59,400","61,700","58,700",-459.54,-1.05
2026-04-28T04:36:03+09:00,25,레인보우로보틱스,277810,0.90%,"669,000","상승 57,000",+9.31%,"490,051","638,000","705,000","631,000","9,164.38",1.07
2026-04-28T04:36:03+09:00,26,대한전선,001440,0.88%,"43,550",상승 700,+1.63%,"8,821,780","44,100","44,400","42,800",96.35,5.48
2026-04-28T04:36:03+09:00,27,일진전기,103590,0.88%,"109,900","상승 13,400",+13.89%,"1,175,937","103,000","112,300","100,800",50.44,19.08
2026-04-28T04:36:03+09:00,28,고영,098460,0.87%,"43,500","상승 1,200",+2.84%,"16,275,125","43,250","44,800","41,650",202.33,4.48
2026-04-28T04:36:03+09:00,29,미래에셋증권,006800,0.87%,"68,700","상승 1,800",+2.69%,"3,580,422","67,600","70,400","66,100",31.89,12.36
2026-04-28T04:36:03+09:00,30,서울반도체,046890,0.86%,"14,540","상한가 3,350",+29.94%,"9,202,911","13,340","14,540","13,070",-16.49,-7.95
2026-04-28T04:51:52+09:00,1,삼성전자,005930,8.85%,"224,500","상승 5,000",+2.28%,"22,526,592","220,000","226,000","218,500",34.20,10.85
2026-04-28T04:51:52+09:00,2,SK하이닉스,000660,6.96%,"1,292,000","상승 70,000",+5.73%,"4,392,195","1,253,000","1,317,000","1,249,000",21.92,44.15
2026-04-28T04:51:52+09:00,3,에이비엘바이오,298380,5.33%,"172,700","상승 15,500",+9.86%,"860,772","162,700","173,900","162,000",-249.21,-23.48
2026-04-28T04:51:52+09:00,4,한미반도체,042700,3.79%,"373,500","상승 78,000",+26.40%,"5,287,941","305,000","379,500","302,000",167.26,34.76
2026-04-28T04:51:52+09:00,5,두산에너빌리티,034020,2.58%,"128,900","상승 1,800",+1.42%,"3,984,476","130,300","130,300","125,600",976.52,1.11
2026-04-28T04:51:52+09:00,6,현대차,005380,2.56%,"524,000","상승 11,000",+2.14%,"930,365","520,000","533,000","515,000",14.83,8.41
2026-04-28T04:51:52+09:00,7,LS ELECTRIC,010120,2.16%,"255,500","상승 29,000",+12.80%,"1,591,106","246,500","261,500","241,000",133.70,14.67
2026-04-28T04:51:52+09:00,8,삼성SDI,006400,2.13%,"635,000","하락 6,000",-0.94%,"699,957","641,000","648,000","616,000",-76.28,-3.15
2026-04-28T04:51:52+09:00,9,대한광통신,010170,2.06%,"16,020","상승 2,660",+19.91%,"64,179,374","13,430","16,580","13,420",-66.20,-52.05
2026-04-28T04:51:52+09:00,10,효성중공업,298040,1.96%,"3,941,000","상승 389,000",+10.95%,"78,226","3,999,000","4,006,000","3,786,000",70.68,24.41
2026-04-28T04:51:52+09:00,11,리노공업,058470,1.80%,"109,800","하락 14,600",-11.74%,"3,215,459","113,800","114,000","105,900",55.07,22.45
2026-04-28T04:51:52+09:00,12,대우건설,047040,1.66%,"33,200",상승 400,+1.22%,"22,424,780","33,450","34,150","31,550",-15.13,-23.89
2026-04-28T04:51:52+09:00,13,삼천당제약,000250,1.40%,"445,000","상승 33,500",+8.14%,"394,348","421,000","459,500","414,500","1,986.61",1.94
2026-04-28T04:51:52+09:00,14,삼성중공업,010140,1.39%,"33,450",하락 950,-2.76%,"8,131,764","34,700","34,750","33,100",53.95,13.74
2026-04-28T04:51:52+09:00,15,에코프로,086520,1.30%,"156,400",하락 200,-0.13%,"934,570","157,600","158,900","154,400",-141.80,-8.39
2026-04-28T04:51:52+09:00,16,삼성전기,009150,1.30%,"794,000","상승 6,000",+0.76%,"528,597","792,000","796,000","771,000",87.26,7.70
2026-04-28T04:51:52+09:00,17,NAVER,035420,1.27%,"215,000","상승 1,000",+0.47%,"458,738","216,000","218,500","215,000",17.37,7.37
2026-04-28T04:51:52+09:00,18,POSCO홀딩스,005490,1.19%,"417,500","상승 2,500",+0.60%,"309,760","422,000","422,000","411,000",51.64,1.18
2026-04-28T04:51:52+09:00,19,한화오션,042660,1.17%,"133,500","하락 1,400",-1.04%,"2,554,842","136,500","137,500","131,700",32.83,22.59
2026-04-28T04:51:52+09:00,20,로보티즈,108490,1.07%,"348,000","상승 55,500",+18.97%,"1,338,630","301,500","361,500","299,500",923.08,2.49
2026-04-28T04:51:52+09:00,21,LG전자,066570,1.04%,"130,000","상승 2,500",+1.96%,"628,169","128,700","131,200","127,300",24.43,4.28
2026-04-28T04:51:52+09:00,22,삼성E&A,028050,0.96%,"54,300","상승 1,800",+3.43%,"3,433,235","54,600","55,200","53,000",17.24,13.76
2026-04-28T04:51:52+09:00,23,SK증권,001510,0.93%,"4,845","상한가 1,115",+29.89%,"57,604,548","4,440","4,845","4,155",40.04,5.00
2026-04-28T04:51:52+09:00,24,펄어비스,263750,0.91%,"60,200","상승 3,200",+5.61%,"1,052,139","59,400","61,700","58,700",-459.54,-1.05
2026-04-28T04:51:52+09:00,25,레인보우로보틱스,277810,0.90%,"669,000","상승 57,000",+9.31%,"490,051","638,000","705,000","631,000","9,164.38",1.07
2026-04-28T04:51:52+09:00,26,대한전선,001440,0.88%,"43,550",상승 700,+1.63%,"8,821,780","44,100","44,400","42,800",96.35,5.48
2026-04-28T04:51:52+09:00,27,일진전기,103590,0.88%,"109,900","상승 13,400",+13.89%,"1,175,937","103,000","112,300","100,800",50.44,19.08
2026-04-28T04:51:52+09:00,28,고영,098460,0.87%,"43,500","상승 1,200",+2.84%,"16,275,125","43,250","44,800","41,650",202.33,4.48
2026-04-28T04:51:52+09:00,29,미래에셋증권,006800,0.87%,"68,700","상승 1,800",+2.69%,"3,580,422","67,600","70,400","66,100",31.89,12.36
2026-04-28T04:51:52+09:00,30,서울반도체,046890,0.86%,"14,540","상한가 3,350",+29.94%,"9,202,911","13,340","14,540","13,070",-16.49,-7.95
